urRe urIm urAbs uzRe uzIm uzAbs
0,0290211982628621 0,0151322868725467 0,0327294371263149 -0,00979754576878885 -0,00560859545522073 0,0112892978555725
0,0361872059384329 0,0146869310162317 0,0390540627375194 -0,00611909112499442 -0,00320620454868275 0,00690818527574206
0,0365715090801098 0,0148250167793961 0,0394620881214607 -0,00608128190626391 -0,00318355408250192 0,00686418285156124
0,0365097456920536 0,0147990709126964 0,0393951016038472 -0,00608128190626391 -0,00318355408250192 0,00686418285156124
0,0360030573965984 0,0146093001655085 0,0388542377769618 -0,00611909112499442 -0,00320620454868275 0,00690818527574206
0,0350940319555003 0,0142720552844979 0,0378851242697901 -0,00619384550088323 -0,00325102714733621 0,00699520547243099
0,0338624256470445 0,013818161183712 0,0365732887391968 -0,00630385568075047 -0,00331707971567863 0,0071233148381843
0,0324148471233244 0,013290020691514 0,0350335120136329 -0,00644677155904233 -0,00340306643793962 0,00728983708429126
0,0308727735250971 0,0127380708474273 0,0333974040015989 -0,00661996005094319 -0,00350762530016351 0,00749181595625726
0,0293611702385051 0,0122170544995949 0,0318014895629206 -0,00682084960069502 -0,00362956122361627 0,00772642892617801
0,0279972981209076 0,0117821520725012 0,0303754474786878 -0,00704743295607896 -0,00376821691450858 0,00799160622060525
0,0268824086931165 0,0114847837830333 0,0292329293038992 -0,00729869239151667 -0,00392374184852391 0,00828653490427942
0,0260921189944369 0,0113673516284233 0,0284607687293241 -0,00757467537225349 -0,00409722941336038 0,00861179399781074
0,0256724967800205 0,0114592462009998 0,0281139007328277 -0,00787669986708107 -0,0042906922015057 0,00896952843599577
0,0256375850785537 0,0117735954925138 0,0282117585322401 -0,00820672535082147 -0,00450664841911535 0,00936270372047149
0,0259732811674536 0,0123079314757821 0,0287418947151392 -0,00856667428933642 -0,00474755075732125 0,00979424047963492
0,0266455668313542 0,0130481507268755 0,0296688467783199 -0,00895759913657079 -0,00501513102687881 0,0102659690973749
