%	omega		f, kHz		S0			   A0			  SH0
    1.465182   233.190921   0.272473E+00   0.799735E+00   0.469316E+00
    1.471457   234.189586   0.273647E+00   0.801919E+00   0.471326E+00
    1.477731   235.188251   0.274822E+00   0.804101E+00   0.473336E+00
    1.484006   236.186916   0.275996E+00   0.806281E+00   0.475346E+00
    1.490281   237.185581   0.277171E+00   0.808460E+00   0.477355E+00
    1.496556   238.184246   0.278346E+00   0.810636E+00   0.479365E+00
    1.502831   239.182911   0.279521E+00   0.812812E+00   0.481375E+00
    1.509105   240.181575   0.280696E+00   0.814985E+00   0.483385E+00
    1.515380   241.180240   0.281871E+00   0.817157E+00   0.485395E+00
    1.521655   242.178905   0.283046E+00   0.819327E+00   0.487405E+00
    1.527930   243.177570   0.284221E+00   0.821496E+00   0.489415E+00
    1.534205   244.176235   0.285397E+00   0.823663E+00   0.491425E+00
    1.540479   245.174900   0.286572E+00   0.825828E+00   0.493434E+00
    1.546754   246.173565   0.287748E+00   0.827992E+00   0.495444E+00
    1.553029   247.172230   0.288923E+00   0.830155E+00   0.497454E+00
    1.559304   248.170895   0.290099E+00   0.832315E+00   0.499464E+00
    1.565579   249.169559   0.291275E+00   0.834474E+00   0.501474E+00
    1.571853   250.168224   0.292451E+00   0.836632E+00   0.503484E+00
    1.578128   251.166889   0.293627E+00   0.838788E+00   0.505494E+00
    1.584403   252.165554   0.294803E+00   0.840943E+00   0.507504E+00
    1.590678   253.164219   0.295980E+00   0.843096E+00   0.509514E+00
    1.596952   254.162884   0.297156E+00   0.845248E+00   0.511524E+00
    1.603227   255.161549   0.298333E+00   0.847398E+00   0.513534E+00
    1.609502   256.160214   0.299509E+00   0.849547E+00   0.515543E+00
    1.615777   257.158879   0.300686E+00   0.851695E+00   0.517553E+00
    1.622052   258.157543   0.301863E+00   0.853840E+00   0.519563E+00
    1.628326   259.156208   0.303040E+00   0.855985E+00   0.521573E+00
    1.634601   260.154873   0.304217E+00   0.858128E+00   0.523583E+00
    1.640876   261.153538   0.305394E+00   0.860270E+00   0.525593E+00
    1.647151   262.152203   0.306572E+00   0.862411E+00   0.527603E+00
    1.653426   263.150868   0.307749E+00   0.864550E+00   0.529613E+00
    1.659700   264.149533   0.308927E+00   0.866688E+00   0.531623E+00
    1.665975   265.148198   0.310104E+00   0.868824E+00   0.533632E+00
    1.672250   266.146862   0.311282E+00   0.870959E+00   0.535642E+00
    1.678525   267.145527   0.312460E+00   0.873093E+00   0.537652E+00
    1.684800   268.144192   0.313638E+00   0.875226E+00   0.539662E+00
    1.691074   269.142857   0.314816E+00   0.877357E+00   0.541672E+00
    1.697349   270.141522   0.315995E+00   0.879487E+00   0.543682E+00
    1.703624   271.140187   0.317173E+00   0.881615E+00   0.545692E+00
    1.709899   272.138852   0.318352E+00   0.883743E+00   0.547702E+00
    1.716174   273.137517   0.319530E+00   0.885869E+00   0.549712E+00
    1.722448   274.136182   0.320709E+00   0.887994E+00   0.551722E+00
    1.728723   275.134846   0.321888E+00   0.890118E+00   0.553731E+00
    1.734998   276.133511   0.323067E+00   0.892241E+00   0.555741E+00
    1.741273   277.132176   0.324246E+00   0.894362E+00   0.557751E+00
    1.747548   278.130841   0.325425E+00   0.896482E+00   0.559761E+00
    1.753822   279.129506   0.326605E+00   0.898601E+00   0.561771E+00
    1.760097   280.128171   0.327784E+00   0.900719E+00   0.563781E+00
    1.766372   281.126836   0.328964E+00   0.902836E+00   0.565791E+00
    1.772647   282.125501   0.330143E+00   0.904951E+00   0.567801E+00
    1.778922   283.124166   0.331323E+00   0.907066E+00   0.569811E+00
    1.785196   284.122830   0.332503E+00   0.909179E+00   0.571820E+00
    1.791471   285.121495   0.333684E+00   0.911291E+00   0.573830E+00
    1.797746   286.120160   0.334864E+00   0.913402E+00   0.575840E+00
    1.804021   287.118825   0.336044E+00   0.915512E+00   0.577850E+00
    1.810296   288.117490   0.337225E+00   0.917621E+00   0.579860E+00
    1.816570   289.116155   0.338405E+00   0.919729E+00   0.581870E+00
    1.822845   290.114820   0.339586E+00   0.921835E+00   0.583880E+00
    1.829120   291.113485   0.340767E+00   0.923941E+00   0.585890E+00
    1.835395   292.112150   0.341948E+00   0.926046E+00   0.587900E+00
    1.841670   293.110814   0.343129E+00   0.928149E+00   0.589909E+00
    1.847944   294.109479   0.344310E+00   0.930252E+00   0.591919E+00
    1.854219   295.108144   0.345492E+00   0.932353E+00   0.593929E+00
    1.860494   296.106809   0.346673E+00   0.934454E+00   0.595939E+00
    1.866769   297.105474   0.347855E+00   0.936553E+00   0.597949E+00
    1.873044   298.104139   0.349037E+00   0.938652E+00   0.599959E+00
    1.879318   299.102804   0.350219E+00   0.940749E+00   0.601969E+00
    1.885593   300.101469   0.351401E+00   0.942846E+00   0.603979E+00
    1.891868   301.100134   0.352583E+00   0.944941E+00   0.605989E+00
    1.898143   302.098798   0.353766E+00   0.947036E+00   0.607999E+00
    1.904418   303.097463   0.354948E+00   0.949129E+00   0.610009E+00
    1.910692   304.096128   0.356131E+00   0.951222E+00   0.612018E+00
    1.916967   305.094793   0.357314E+00   0.953313E+00   0.614028E+00
    1.923242   306.093458   0.358497E+00   0.955404E+00   0.616038E+00
    1.929517   307.092123   0.359680E+00   0.957494E+00   0.618048E+00
    1.935792   308.090788   0.360863E+00   0.959583E+00   0.620058E+00
    1.942066   309.089453   0.362047E+00   0.961671E+00   0.622068E+00
    1.948341   310.088117   0.363230E+00   0.963758E+00   0.624078E+00
    1.954616   311.086782   0.364414E+00   0.965844E+00   0.626088E+00
    1.960891   312.085447   0.365598E+00   0.967929E+00   0.628098E+00
    1.967165   313.084112   0.366781E+00   0.970014E+00   0.630107E+00
    1.973440   314.082777   0.367966E+00   0.972097E+00   0.632117E+00
    1.979715   315.081442   0.369150E+00   0.974180E+00   0.634127E+00
    1.985990   316.080107   0.370334E+00   0.976262E+00   0.636137E+00
    1.992265   317.078772   0.371519E+00   0.978343E+00   0.638147E+00
    1.998539   318.077437   0.372703E+00   0.980423E+00   0.640157E+00
    2.004814   319.076101   0.373888E+00   0.982502E+00   0.642167E+00
    2.011089   320.074766   0.375073E+00   0.984580E+00   0.644177E+00
    2.017364   321.073431   0.376258E+00   0.986658E+00   0.646186E+00
    2.023639   322.072096   0.377444E+00   0.988735E+00   0.648196E+00
    2.029913   323.070761   0.378629E+00   0.990811E+00   0.650206E+00
    2.036188   324.069426   0.379815E+00   0.992886E+00   0.652216E+00
    2.042463   325.068091   0.381000E+00   0.994960E+00   0.654226E+00
    2.048738   326.066756   0.382186E+00   0.997034E+00   0.656236E+00
    2.055013   327.065421   0.383372E+00   0.999106E+00   0.658246E+00
    2.061287   328.064085   0.384559E+00   0.100118E+01   0.660256E+00
    2.067562   329.062750   0.385745E+00   0.100325E+01   0.662266E+00
    2.073837   330.061415   0.386931E+00   0.100532E+01   0.664276E+00
    2.080112   331.060080   0.388118E+00   0.100739E+01   0.666285E+00
    2.086387   332.058745   0.389305E+00   0.100946E+01   0.668295E+00
    2.092661   333.057410   0.390492E+00   0.101153E+01   0.670305E+00
    2.098936   334.056075   0.391679E+00   0.101359E+01   0.672315E+00
    2.105211   335.054740   0.392866E+00   0.101566E+01   0.674325E+00
    2.111486   336.053405   0.394054E+00   0.101773E+01   0.676335E+00
    2.117761   337.052069   0.395242E+00   0.101979E+01   0.678345E+00
    2.124035   338.050734   0.396429E+00   0.102186E+01   0.680355E+00
    2.130310   339.049399   0.397617E+00   0.102392E+01   0.682365E+00
    2.136585   340.048064   0.398805E+00   0.102598E+01   0.684375E+00
    2.142860   341.046729   0.399994E+00   0.102805E+01   0.686384E+00
    2.149135   342.045394   0.401182E+00   0.103011E+01   0.688394E+00
    2.155409   343.044059   0.402371E+00   0.103217E+01   0.690404E+00
    2.161684   344.042724   0.403560E+00   0.103423E+01   0.692414E+00
    2.167959   345.041389   0.404749E+00   0.103629E+01   0.694424E+00
    2.174234   346.040053   0.405938E+00   0.103835E+01   0.696434E+00
    2.180509   347.038718   0.407127E+00   0.104041E+01   0.698444E+00
    2.186783   348.037383   0.408316E+00   0.104246E+01   0.700454E+00
    2.193058   349.036048   0.409506E+00   0.104452E+01   0.702464E+00
    2.199333   350.034713   0.410696E+00   0.104658E+01   0.704474E+00
    2.205608   351.033378   0.411886E+00   0.104863E+01   0.706483E+00
    2.211883   352.032043   0.413076E+00   0.105069E+01   0.708493E+00
    2.218157   353.030708   0.414266E+00   0.105274E+01   0.710503E+00
    2.224432   354.029372   0.415457E+00   0.105480E+01   0.712513E+00
    2.230707   355.028037   0.416647E+00   0.105685E+01   0.714523E+00
    2.236982   356.026702   0.417838E+00   0.105890E+01   0.716533E+00
    2.243257   357.025367   0.419029E+00   0.106095E+01   0.718543E+00
    2.249531   358.024032   0.420220E+00   0.106300E+01   0.720553E+00
    2.255806   359.022697   0.421412E+00   0.106505E+01   0.722562E+00
    2.262081   360.021362   0.422603E+00   0.106710E+01   0.724572E+00
    2.268356   361.020027   0.423795E+00   0.106915E+01   0.726582E+00
    2.274631   362.018692   0.424987E+00   0.107120E+01   0.728592E+00
    2.280905   363.017356   0.426179E+00   0.107325E+01   0.730602E+00
    2.287180   364.016021   0.427371E+00   0.107530E+01   0.732612E+00
    2.293455   365.014686   0.428564E+00   0.107735E+01   0.734622E+00
    2.299730   366.013351   0.429756E+00   0.107939E+01   0.736632E+00
    2.306005   367.012016   0.430949E+00   0.108144E+01   0.738642E+00
    2.312279   368.010681   0.432142E+00   0.108348E+01   0.740652E+00
    2.318554   369.009346   0.433335E+00   0.108553E+01   0.742661E+00
    2.324829   370.008011   0.434529E+00   0.108757E+01   0.744671E+00
    2.331104   371.006676   0.435722E+00   0.108962E+01   0.746681E+00
    2.337378   372.005340   0.436916E+00   0.109166E+01   0.748691E+00
    2.343653   373.004005   0.438110E+00   0.109370E+01   0.750701E+00
    2.349928   374.002670   0.439304E+00   0.109574E+01   0.752711E+00
    2.356203   375.001335   0.440498E+00   0.109779E+01   0.754721E+00
    2.362478   376.000000   0.441693E+00   0.109983E+01   0.756731E+00
    2.368752   376.998665   0.442888E+00   0.110187E+01   0.758741E+00
    2.375027   377.997330   0.444083E+00   0.110391E+01   0.760751E+00
    2.381302   378.995995   0.445278E+00   0.110595E+01   0.762760E+00
    2.387577   379.994660   0.446473E+00   0.110799E+01   0.764770E+00
    2.393852   380.993324   0.447668E+00   0.111003E+01   0.766780E+00
    2.400126   381.991989   0.448864E+00   0.111206E+01   0.768790E+00
    2.406401   382.990654   0.450060E+00   0.111410E+01   0.770800E+00
    2.412676   383.989319   0.451256E+00   0.111614E+01   0.772810E+00
    2.418951   384.987984   0.452452E+00   0.111817E+01   0.774820E+00
    2.425226   385.986649   0.453649E+00   0.112021E+01   0.776830E+00
    2.431500   386.985314   0.454845E+00   0.112225E+01   0.778840E+00
    2.437775   387.983979   0.456042E+00   0.112428E+01   0.780849E+00
    2.444050   388.982644   0.457239E+00   0.112632E+01   0.782859E+00
    2.450325   389.981308   0.458437E+00   0.112835E+01   0.784869E+00
    2.456600   390.979973   0.459634E+00   0.113038E+01   0.786879E+00
    2.462874   391.978638   0.460832E+00   0.113242E+01   0.788889E+00
    2.469149   392.977303   0.462030E+00   0.113445E+01   0.790899E+00
    2.475424   393.975968   0.463228E+00   0.113648E+01   0.792909E+00
    2.481699   394.974633   0.464426E+00   0.113851E+01   0.794919E+00
    2.487974   395.973298   0.465624E+00   0.114054E+01   0.796929E+00
    2.494248   396.971963   0.466823E+00   0.114257E+01   0.798939E+00
    2.500523   397.970628   0.468022E+00   0.114461E+01   0.800949E+00
    2.506798   398.969292   0.469221E+00   0.114664E+01   0.802958E+00
